SITE_ID,order,group
13-SAW-0.2,6,sawmill
13-SAW-1.4,5,sawmill
13-SAW-10.8,2,sawmill
13-SAW-18.4,1,sawmill
13-SAW-4.8,4,sawmill
13-SAW-7.9,3,sawmill
